LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06A2,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14A1,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS25D,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
2469,5039,6304,0,11255,14770,191,0,24476,0,0,44755,19225,0,384,7652,0,0,0,3599,0,1423,2390,0,645,0,10022,20460,167794,30456,76857,137535,38,4681,0,563594,0,631,21949,26868,4280,0,0,0,0,0,7147,0,0,0,0,19605,4375,31937,0,0,0,9153,46981,78635,13526,4945,38869,2552,47430,2560,54717,0,0,86808,9520
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20214,0,0,2702969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22326,1739,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3516380,254599,106084,0,343489,121149,379985,36,146,0,0,2236,4208,3833688,2783,1639870,0,0,313621,0,0,10086,0,46394,703,0,3674,0,0,0,0,0,165069,0,0,0,0,0,0,349348,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,2194,0,1190861,0,0,0,17140,0,0,0,0,596
0,0,0,0,0,0,0,0,0,2186,0,0,0,120,0,299,0,0,0,0,0,0,0,0,0,0,0,4300,0,5483,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,0,2127,0,0,1268,0,493,0,0,0,209,0,0
0,1148,0,0,0,0,0,0,0,0,0,0,15247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,0,0,0,0,0,4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0,0,0,96,0,0
2916,0,329,0,0,0,0,147,1174,52783,0,0,4227,9200,0,12455,0,0,0,358,0,0,0,0,0,0,6744,0,0,0,0,1836,0,0,0,0,0,0,53201,143,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,0,0,0,2631,2463,16119,1108,1501,12330,0,64738,0,0,0,0,0,0
11638,20366,73682,0,2030,7160,4018,56139,253612,10117,0,547694,48921,162,1662,731,1181,0,3024,16846,7202,541,16447,5301,2272,392432,22551,0,85014,0,4050,579096,23665,66560,0,406844,302,4888,135679,29174,0,0,0,799,0,0,0,0,0,0,8329,213162,25868,1031,0,0,0,2509,568,73,0,0,3337,876,215,31037,7642,0,11924,235181,119822
