LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS25D,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
2862.027798,3838.248953,2883.46172,35.03431612,932.0754293,768.5583059,1516.219462,2219.278461,2726.566316,690.8754833,17.64710001,1469.812813,1938.716275,1389.051385,2453.602351,237.4886026,1504.285187,1887.378638,1149.941413,1964.857726,1192.257431,1520.164004,3259.431573,1238.248402,2294.388116,1592.100806,3402.156001,3017.8211,1484.001411,417.9085965,4072.661399,1308.753468,2286.203159,816.2752912,28.21762089,80.98650005,1457.252336,1313.00049,131.6688908,0,452.3880626,257.8833767,615.7928122,86.11776133,354.7757709,1229.301662,954.356593,0,650.8484968,377.6953229,649.4466335,226.1368688,3.935120899,1124.461404,4.52248154,525.7307533,778.1101759,1088.789462,1311.358346,635.4475753,2569.745927,1218.907364,983.9064282,1187.67411,1823.647884,460.0931496,1093.181385,308.7290578,883.8337737
0,0,0,0,0,0,0,0,0,0,0,0,43.55709601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.472186249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382.461753,1070.36549,1256.888598,19.73499455,234.0244796,736.1942301,559.4338499,1075.352196,258.6332663,378.0805196,14.47597004,319.2590332,1559.759037,508.9632764,2491.643307,18.69110846,7.110620345,1138.366161,291.3780012,677.132559,817.5506208,7.783410811,289.5703401,579.5718331,137.5557835,845.0819062,611.9592388,0,653.6605682,72.17594562,267.0737146,608.1471733,509.0022121,241.1510096,0,7.786127022,396.0251244,655.6398392,9.605358142,0,11.81713671,97.77629783,45.29277877,117.1946874,416.5886839,268.1328435,133.0453799,0,10.88718544,1119.248623,1582.620539,304.1639655,0,0,0,417.3300942,377.0016085,182.3401165,333.397554,952.400002,784.3169884,113.8085008,306.2792878,222.1645777,578.2648403,57.03687705,1394.604001,328.355494,1521.557733
3874.822767,2372.382687,2266.375401,38.72637658,596.7936232,1351.849374,818.2159911,1687.422002,1236.941899,1850.86569,21.63240854,1227.503569,2850.652187,1098.428244,3551.450537,869.747646,1386.501894,2231.514348,856.3949033,1463.388171,3305.373929,766.3688592,1525.964906,4265.251715,1267.991513,1455.03063,2916.544382,1637.135536,1578.784268,518.3523564,2610.558637,1165.665151,1640.800403,995.1694458,163.5667871,424.3147301,2129.089624,1043.007816,275.1313015,0,629.7636445,563.4952904,76.19277704,441.8091477,855.7051876,836.8506808,1149.72118,0,639.4873728,2070.225466,2429.710725,345.0891877,19.57134185,1148.490416,15.20891777,931.8256074,1191.310597,1078.661012,652.2938255,1359.665109,2788.147767,1360.285721,653.9455762,1819.754024,1516.741812,163.1597711,2355.054714,1274.735835,1899.104072
65.32780357,363.1200154,234.9027544,0,81.21869244,132.9601822,471.2642569,65.60647832,230.9307842,100.5653484,0,97.4794719,101.3686411,166.0699115,416.9115769,0,4.39051205,202.2144462,131.3590653,267.1011131,33.00357338,240.3801889,206.7425146,56.75485931,332.5573491,24.98892347,0,111.3045648,50.77273921,0,338.8584268,235.1003043,174.6165793,40.51450035,0,0,60.03949436,143.433016,0,0,0,0,213.50009,0,30.65575175,2.976185562,7.418143358,0,15.53924355,40.48727163,71.94847774,22.5354553,0,0,0,55.97523439,106.3703594,7.696913241,56.44283532,63.29541818,28.89747768,6.315760093,145.5989602,0,115.8248158,0,22.01424946,9.55285356,139.6607412
288.1205078,18.99616634,0,0,0,103.37666,0,0,3.598867599,90.31087951,15.08992741,0,772.3389995,0,0,376.6446287,0,128.197764,108.0093376,0,1080.264247,229.6483667,9.520807044,388.0244924,48.76433234,0,0,0,25.015413,0,5.401670495,0,0,15.99363827,0,1.583922054,595.2559413,0,0,0,0,0,0,6.059466866,0,151.438185,59.15281495,0,0,0,0,3.622157289,0,0,1.638539207,1.811884543,3.632282469,0,0,201.0274583,0,0,1.81240775,0,0,1.691441944,523.8687727,78.21370961,350.6282832
208.1377544,31.96843436,0,0,0,0,0,0,0,41.9226934,0,0,123.5076128,0,0,144.379437,0,95.93844788,0,0,83.15000486,0,19.90984269,13.54267737,0,0,0,0,41.73251907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999127696,6.928242474,0,0,163.1499821,0,0,0,0,0,0,246.3645603,0,244.6296475
2648.224279,3832.20724,1792.234894,21.57231933,647.3171113,403.8628211,1573.019346,1606.951171,1451.149166,459.5709642,26.60884703,1487.187921,805.8922763,1518.557845,1991.590014,181.843627,13.40716603,1053.200679,880.1032352,1982.645638,973.7397803,1389.62435,2322.475702,1033.53421,2213.206224,303.4315529,2088.987404,2929.858502,805.4409585,200.3854961,3230.818681,1254.838391,1846.808887,96.83997337,0,0,412.5015999,2073.180781,0,0,47.77349195,22.07915542,129.3414243,17.89071194,54.955659,91.3663049,259.1887477,4.14886327,107.9782543,476.4540262,2189.734362,350.1960495,7.429700854,222.944829,0,225.1733929,781.0626712,114.2210255,471.2892973,755.6608145,559.4091559,293.3623396,304.3628759,728.3834343,1603.789129,0,938.0975302,223.3507107,1506.329437
1674.822785,2010.797107,1576.462512,14.81269647,670.0962842,179.2323266,833.6607945,20.51414599,1583.937974,38.67567551,26.70012859,33.18855298,1025.11079,623.5403371,1803.013825,366.6224958,16.27140719,1087.174269,989.105639,1622.083404,3248.620264,1413.980318,2608.284076,4083.723622,1321.347502,368.22363,1413.031748,34.63455891,671.8218845,297.5526936,3244.704954,294.9821941,1587.768238,33.59535749,177.3679972,448.202094,917.6846262,49.35203317,0,0,75.82024545,0,130.6181523,38.52066701,40.20058433,476.7971642,287.8858751,4.362702289,79.1988418,381.5322914,2332.545123,365.7956287,24.65311179,0,14.14452703,103.0010787,0,468.3868623,586.9511591,739.8572142,488.0686875,256.2541905,235.1853558,0,0,0,703.9535914,30.05502879,1463.685677
4190.469811,3820.132568,3027.791372,37.96396904,1001.39833,1053.220414,1900.250004,1936.108276,2735.024078,1627.198645,13.43088636,968.0716361,1814.051939,1449.764444,3732.368082,347.4944253,1247.935031,2009.171497,1350.136315,2422.542779,2404.553511,1653.735889,3858.687984,1579.578594,2381.301267,1272.61258,3361.613395,2833.216162,1597.821985,433.2180806,4736.787383,1399.495816,2494.846609,807.5364676,12.10575622,53.36235072,1262.426908,2019.684696,7.595792582,0,560.0856475,551.500061,230.4123569,61.81013564,324.8077136,1220.047871,1095.97137,20.8378695,618.2960423,1712.336027,3134.406768,296.6013403,4.693254578,619.9610187,3.584144633,540.8850098,617.3553678,1092.983744,1425.852104,1345.345759,2160.944403,1117.468934,862.0667406,1293.628649,1418.875632,245.1521146,1661.430199,578.6993737,2165.685669
